t (s) - HBT Measurement	Start-Stop Historam (total events) - HBT Measurement	
57,4782n	28	
57,6402n	32	
57,8021n	25	
57,964n	31	
58,1259n	29	
58,2878n	32	
58,4497n	32	
58,6116n	34	
58,7735n	27	
58,9354n	31	
59,0973n	26	
59,2593n	28	
59,4212n	26	
59,5831n	33	
59,745n	39	
59,9069n	39	
60,0688n	32	
60,2307n	29	
60,3926n	27	
60,5545n	39	
60,7165n	29	
60,8784n	24	
61,0403n	26	
61,2022n	26	
61,3641n	24	
61,526n	35	
61,6879n	22	
61,8498n	33	
62,0117n	23	
62,1736n	25	
62,3356n	41	
62,4975n	43	
62,6594n	24	
62,8213n	44	
62,9832n	21	
63,1451n	25	
63,307n	29	
63,4689n	30	
63,6308n	26	
63,7928n	37	
63,9547n	35	
64,1166n	26	
64,2785n	32	
64,4404n	32	
64,6023n	29	
64,7642n	37	
64,9261n	26	
65,088n	26	
65,2499n	32	
65,4119n	22	
65,5738n	28	
65,7357n	24	
65,8976n	34	
66,0595n	28	
66,2214n	32	
66,3833n	24	
66,5452n	20	
66,7071n	26	
66,8691n	41	
67,031n	29	
67,1929n	33	
67,3548n	28	
67,5167n	38	
67,6786n	33	
67,8405n	28	
68,0024n	25	
68,1643n	27	
68,3262n	27	
68,4882n	30	
68,6501n	32	
68,812n	27	
68,9739n	31	
69,1358n	31	
69,2977n	32	
69,4596n	27	
69,6215n	34	
69,7834n	27	
69,9454n	25	
70,1073n	31	
70,2692n	27	
70,4311n	26	
70,593n	19	
70,7549n	38	
70,9168n	33	
71,0787n	32	
71,2406n	25	
71,4026n	37	
71,5645n	33	
71,7264n	24	
71,8883n	37	
72,0502n	25	
72,2121n	26	
72,374n	33	
72,5359n	27	
72,6978n	33	
72,8597n	29	
73,0217n	26	
73,1836n	34	
73,3455n	36	
73,5074n	25	
73,6693n	19	
73,8312n	40	
73,9931n	35	
74,155n	34	
74,3169n	28	
74,4789n	31	
74,6408n	29	
74,8027n	31	
74,9646n	25	
75,1265n	31	
75,2884n	28	
75,4503n	37	
75,6122n	38	
75,7741n	25	
75,936n	33	
76,098n	34	
76,2599n	24	
76,4218n	24	
76,5837n	23	
76,7456n	27	
76,9075n	28	
77,0694n	32	
77,2313n	39	
77,3932n	27	
77,5552n	28	
77,7171n	25	
77,879n	25	
78,0409n	31	
78,2028n	26	
78,3647n	28	
78,5266n	30	
78,6885n	29	
78,8504n	30	
79,0123n	44	
79,1743n	25	
79,3362n	34	
79,4981n	37	
79,66n	24	
79,8219n	28	
79,9838n	29	
80,1457n	31	
80,3076n	32	
80,4695n	32	
80,6315n	24	
80,7934n	30	
80,9553n	21	
81,1172n	25	
81,2791n	27	
81,441n	28	
81,6029n	32	
81,7648n	30	
81,9267n	32	
82,0886n	32	
82,2506n	23	
82,4125n	24	
82,5744n	27	
82,7363n	29	
82,8982n	36	
83,0601n	24	
83,222n	30	
83,3839n	26	
83,5458n	22	
83,7078n	30	
83,8697n	40	
84,0316n	37	
84,1935n	26	
84,3554n	20	
84,5173n	30	
84,6792n	32	
84,8411n	37	
85,003n	32	
85,1649n	31	
85,3269n	31	
85,4888n	32	
85,6507n	36	
85,8126n	37	
85,9745n	30	
86,1364n	29	
86,2983n	36	
86,4602n	20	
86,6221n	26	
86,7841n	44	
86,946n	25	
87,1079n	30	
87,2698n	32	
87,4317n	23	
87,5936n	29	
87,7555n	24	
87,9174n	36	
88,0793n	35	
88,2412n	32	
88,4032n	41	
88,5651n	33	
88,727n	27	
88,8889n	30	
89,0508n	39	
89,2127n	31	
89,3746n	23	
89,5365n	34	
89,6984n	31	
89,8604n	41	
90,0223n	25	
90,1842n	31	
90,3461n	31	
90,508n	24	
90,6699n	20	
90,8318n	28	
90,9937n	33	
91,1556n	42	
91,3175n	37	
91,4795n	28	
91,6414n	35	
91,8033n	43	
91,9652n	31	
92,1271n	44	
92,289n	26	
92,4509n	34	
92,6128n	26	
92,7747n	36	
92,9367n	27	
93,0986n	29	
93,2605n	28	
93,4224n	26	
93,5843n	33	
93,7462n	31	
93,9081n	34	
94,07n	30	
94,2319n	26	
94,3938n	37	
94,5558n	29	
94,7177n	34	
94,8796n	29	
95,0415n	38	
95,2034n	31	
95,3653n	27	
95,5272n	31	
95,6891n	39	
95,851n	37	
96,013n	27	
96,1749n	33	
96,3368n	28	
96,4987n	26	
96,6606n	34	
96,8225n	28	
96,9844n	22	
97,1463n	30	
97,3082n	30	
97,4701n	30	
97,6321n	35	
97,794n	25	
97,9559n	36	
98,1178n	31	
98,2797n	31	
98,4416n	30	
98,6035n	32	
98,7654n	26	
98,9273n	36	
99,0893n	33	
99,2512n	36	
99,4131n	20	
99,575n	27	
99,7369n	41	
99,8988n	29	
