tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
-27,0391n	875,693m	-27,0391n	1	
-26,8772n	943,054m	-26,8772n	1	
-26,7152n	606,249m	-26,7152n	1	
-26,5533n	1,2125	-26,5533n	1	
-26,3914n	1,0441	-26,3914n	1	
-26,2295n	1,14514	-26,2295n	1	
-26,0676n	1,27986	-26,0676n	1	
-25,9057n	1,2125	-25,9057n	1	
-25,7438n	1,01041	-25,7438n	1	
-25,5819n	808,332m	-25,5819n	1	
-25,42n	976,734m	-25,42n	1	
-25,258n	875,693m	-25,258n	1	
-25,0961n	976,734m	-25,0961n	1	
-24,9342n	1,0441	-24,9342n	1	
-24,7723n	1,24618	-24,7723n	1	
-24,6104n	1,0441	-24,6104n	1	
-24,4485n	943,054m	-24,4485n	1	
-24,2866n	1,07778	-24,2866n	1	
-24,1247n	1,01041	-24,1247n	1	
-23,9628n	909,373m	-23,9628n	1	
-23,8009n	673,61m	-23,8009n	1	
-23,6389n	808,332m	-23,6389n	1	
-23,477n	842,012m	-23,477n	1	
-23,3151n	673,61m	-23,3151n	1	
-23,1532n	976,734m	-23,1532n	1	
-22,9913n	572,568m	-22,9913n	1	
-22,8294n	1,07778	-22,8294n	1	
-22,6675n	1,17882	-22,6675n	1	
-22,5056n	1,0441	-22,5056n	1	
-22,3437n	875,693m	-22,3437n	1	
-22,1817n	909,373m	-22,1817n	1	
-22,0198n	1,14514	-22,0198n	1	
-21,8579n	976,734m	-21,8579n	1	
-21,696n	1,01041	-21,696n	1	
-21,5341n	1,14514	-21,5341n	1	
-21,3722n	842,012m	-21,3722n	1	
-21,2103n	774,651m	-21,2103n	1	
-21,0484n	1,11146	-21,0484n	1	
-20,8865n	1,01041	-20,8865n	1	
-20,7245n	1,11146	-20,7245n	1	
-20,5626n	1,14514	-20,5626n	1	
-20,4007n	1,14514	-20,4007n	1	
-20,2388n	842,012m	-20,2388n	1	
-20,0769n	1,31354	-20,0769n	1	
-19,915n	1,48194	-19,915n	1	
-19,7531n	943,054m	-19,7531n	1	
-19,5912n	1,24618	-19,5912n	1	
-19,4293n	842,012m	-19,4293n	1	
-19,2674n	740,971m	-19,2674n	1	
-19,1054n	909,373m	-19,1054n	1	
-18,9435n	875,693m	-18,9435n	1	
-18,7816n	1,27986	-18,7816n	1	
-18,6197n	740,971m	-18,6197n	1	
-18,4578n	1,34722	-18,4578n	1	
-18,2959n	976,734m	-18,2959n	1	
-18,134n	1,14514	-18,134n	1	
-17,9721n	1,44826	-17,9721n	1	
-17,8102n	808,332m	-17,8102n	1	
-17,6482n	1,0441	-17,6482n	1	
-17,4863n	842,012m	-17,4863n	1	
-17,3244n	976,734m	-17,3244n	1	
-17,1625n	1,27986	-17,1625n	1	
-17,0006n	1,11146	-17,0006n	1	
-16,8387n	1,14514	-16,8387n	1	
-16,6768n	1,27986	-16,6768n	1	
-16,5149n	842,012m	-16,5149n	1	
-16,353n	1,01041	-16,353n	1	
-16,1911n	1,01041	-16,1911n	1	
-16,0291n	943,054m	-16,0291n	1	
-15,8672n	1,0441	-15,8672n	1	
-15,7053n	943,054m	-15,7053n	1	
-15,5434n	909,373m	-15,5434n	1	
-15,3815n	606,249m	-15,3815n	1	
-15,2196n	976,734m	-15,2196n	1	
-15,0577n	1,24618	-15,0577n	1	
-14,8958n	1,11146	-14,8958n	1	
-14,7339n	1,17882	-14,7339n	1	
-14,5719n	943,054m	-14,5719n	1	
-14,41n	875,693m	-14,41n	1	
-14,2481n	875,693m	-14,2481n	1	
-14,0862n	842,012m	-14,0862n	1	
