tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
-20,5626n	963,439m	-20,5626n	1	
-20,4007n	797,329m	-20,4007n	1	
-20,2388n	1,09633	-20,2388n	1	
-20,0769n	996,661m	-20,0769n	1	
-19,915n	830,551m	-19,915n	1	
-19,7531n	896,995m	-19,7531n	1	
-19,5912n	930,217m	-19,5912n	1	
-19,4293n	1,12955	-19,4293n	1	
-19,2674n	930,217m	-19,2674n	1	
-19,1054n	1,06311	-19,1054n	1	
-18,9435n	1,09633	-18,9435n	1	
-18,7816n	1,16277	-18,7816n	1	
-18,6197n	1,06311	-18,6197n	1	
-18,4578n	764,107m	-18,4578n	1	
-18,2959n	1,06311	-18,2959n	1	
-18,134n	930,217m	-18,134n	1	
-17,9721n	1,26244	-17,9721n	1	
-17,8102n	930,217m	-17,8102n	1	
-17,6482n	730,885m	-17,6482n	1	
-17,4863n	1,09633	-17,4863n	1	
-17,3244n	1,06311	-17,3244n	1	
-17,1625n	797,329m	-17,1625n	1	
-17,0006n	1,42855	-17,0006n	1	
-16,8387n	963,439m	-16,8387n	1	
-16,6768n	1,19599	-16,6768n	1	
-16,5149n	1,12955	-16,5149n	1	
-16,353n	1,02988	-16,353n	1	
-16,1911n	1,06311	-16,1911n	1	
-16,0291n	1,02988	-16,0291n	1	
-15,8672n	1,16277	-15,8672n	1	
-15,7053n	797,329m	-15,7053n	1	
-15,5434n	1,06311	-15,5434n	1	
-15,3815n	1,22922	-15,3815n	1	
-15,2196n	863,773m	-15,2196n	1	
-15,0577n	1,19599	-15,0577n	1	
-14,8958n	1,12955	-14,8958n	1	
-14,7339n	930,217m	-14,7339n	1	
-14,5719n	1,02988	-14,5719n	1	
-14,41n	830,551m	-14,41n	1	
-14,2481n	1,16277	-14,2481n	1	
-14,0862n	830,551m	-14,0862n	1	
-13,9243n	1,02988	-13,9243n	1	
-13,7624n	1,3621	-13,7624n	1	
-13,6005n	930,217m	-13,6005n	1	
-13,4386n	930,217m	-13,4386n	1	
-13,2767n	1,02988	-13,2767n	1	
-13,1148n	996,661m	-13,1148n	1	
-12,9528n	930,217m	-12,9528n	1	
-12,7909n	1,09633	-12,7909n	1	
-12,629n	1,22922	-12,629n	1	
-12,4671n	930,217m	-12,4671n	1	
-12,3052n	631,219m	-12,3052n	1	
-12,1433n	1,62788	-12,1433n	1	
-11,9814n	996,661m	-11,9814n	1	
-11,8195n	830,551m	-11,8195n	1	
-11,6576n	1,16277	-11,6576n	1	
-11,4956n	830,551m	-11,4956n	1	
-11,3337n	1,02988	-11,3337n	1	
-11,1718n	1,12955	-11,1718n	1	
-11,0099n	930,217m	-11,0099n	1	
-10,848n	896,995m	-10,848n	1	
-10,6861n	1,09633	-10,6861n	1	
-10,5242n	730,885m	-10,5242n	1	
-10,3623n	930,217m	-10,3623n	1	
-10,2004n	797,329m	-10,2004n	1	
-10,0385n	1,3621	-10,0385n	1	
-9,87654n	1,22922	-9,87654n	1	
-9,71463n	1,02988	-9,71463n	1	
-9,55272n	1,16277	-9,55272n	1	
-9,39081n	697,663m	-9,39081n	1	
-9,2289n	1,12955	-9,2289n	1	
-9,06699n	1,29566	-9,06699n	1	
-8,90508n	1,06311	-8,90508n	1	
-8,74317n	1,22922	-8,74317n	1	
-8,58126n	830,551m	-8,58126n	1	
-8,41935n	1,29566	-8,41935n	1	
-8,25744n	963,439m	-8,25744n	1	
-8,09553n	896,995m	-8,09553n	1	
-7,93362n	930,217m	-7,93362n	1	
-7,77171n	797,329m	-7,77171n	1	
-7,6098n	1,46177	-7,6098n	1	
-7,44789n	730,885m	-7,44789n	1	
-7,28597n	697,663m	-7,28597n	1	
-7,12406n	930,217m	-7,12406n	1	
-6,96215n	1,02988	-6,96215n	1	
-6,80024n	764,107m	-6,80024n	1	
-6,63833n	564,775m	-6,63833n	1	
-6,47642n	863,773m	-6,47642n	1	
-6,31451n	1,16277	-6,31451n	1	
-6,1526n	1,06311	-6,1526n	1	
-5,99069n	830,551m	-5,99069n	1	
-5,82878n	797,329m	-5,82878n	1	
-5,66687n	996,661m	-5,66687n	1	
-5,50496n	996,661m	-5,50496n	1	
-5,34305n	664,441m	-5,34305n	1	
-5,18114n	1,26244	-5,18114n	1	
-5,01923n	830,551m	-5,01923n	1	
-4,85732n	697,663m	-4,85732n	1	
-4,69541n	1,09633	-4,69541n	1	
-4,5335n	1,22922	-4,5335n	1	
-4,37158n	830,551m	-4,37158n	1	
-4,20967n	863,773m	-4,20967n	1	
-4,04776n	1,06311	-4,04776n	1	
-3,88585n	1,02988	-3,88585n	1	
-3,72394n	963,439m	-3,72394n	1	
-3,56203n	1,06311	-3,56203n	1	
-3,40012n	1,02988	-3,40012n	1	
-3,23821n	1,02988	-3,23821n	1	
-3,0763n	1,26244	-3,0763n	1	
-2,91439n	1,22922	-2,91439n	1	
-2,75248n	1,06311	-2,75248n	1	
-2,59057n	896,995m	-2,59057n	1	
-2,42866n	1,12955	-2,42866n	1	
-2,26675n	1,19599	-2,26675n	1	
-2,10484n	1,26244	-2,10484n	1	
-1,94293n	963,439m	-1,94293n	1	
-1,78102n	863,773m	-1,78102n	1	
-1,61911n	963,439m	-1,61911n	1	
-1,45719n	1,12955	-1,45719n	1	
-1,29528n	797,329m	-1,29528n	1	
-1,13337n	896,995m	-1,13337n	1	
-971,463p	1,02988	-971,463p	1	
-809,553p	996,661m	-809,553p	1	
-647,642p	863,773m	-647,642p	1	
-485,732p	1,39533	-485,732p	1	
-323,821p	996,661m	-323,821p	1	
-161,911p	1,06311	-161,911p	1	
0	830,551m	0	1	
161,911p	1,12955	161,911p	1	
323,821p	1,42855	323,821p	1	
485,732p	996,661m	485,732p	1	
647,642p	996,661m	647,642p	1	
809,553p	1,22922	809,553p	1	
971,463p	1,29566	971,463p	1	
1,13337n	1,29566	1,13337n	1	
1,29528n	963,439m	1,29528n	1	
1,45719n	1,09633	1,45719n	1	
1,61911n	797,329m	1,61911n	1	
1,78102n	1,06311	1,78102n	1	
1,94293n	896,995m	1,94293n	1	
2,10484n	830,551m	2,10484n	1	
2,26675n	1,29566	2,26675n	1	
2,42866n	1,16277	2,42866n	1	
2,59057n	1,32888	2,59057n	1	
2,75248n	1,46177	2,75248n	1	
2,91439n	1,52821	2,91439n	1	
3,0763n	1,32888	3,0763n	1	
3,23821n	1,49499	3,23821n	1	
3,40012n	1,56144	3,40012n	1	
3,56203n	1,42855	3,56203n	1	
3,72394n	1,99332	3,72394n	1	
3,88585n	1,79399	3,88585n	1	
4,04776n	2,45843	4,04776n	1	
4,20967n	2,5581	4,20967n	1	
4,37158n	2,29232	4,37158n	1	
4,5335n	2,65776	4,5335n	1	
4,69541n	2,8571	4,69541n	1	
4,85732n	2,15943	4,85732n	1	
5,01923n	1,46177	5,01923n	1	
5,18114n	1,76077	5,18114n	1	
5,34305n	1,62788	5,34305n	1	
5,50496n	1,99332	5,50496n	1	
5,66687n	1,9601	5,66687n	1	
5,82878n	2,15943	5,82878n	1	
5,99069n	2,2591	5,99069n	1	
6,1526n	2,65776	6,1526n	1	
6,31451n	2,75743	6,31451n	1	
6,47642n	2,95676	6,47642n	1	
6,63833n	3,08965	6,63833n	1	
6,80024n	3,98665	6,80024n	1	
6,96215n	3,35543	6,96215n	1	
7,12406n	3,05643	7,12406n	1	
7,28597n	2,35877	7,28597n	1	
7,44789n	2,05977	7,44789n	1	
7,6098n	2,19265	7,6098n	1	
7,77171n	2,05977	7,77171n	1	
7,93362n	1,62788	7,93362n	1	
8,09553n	1,82721	8,09553n	1	
8,25744n	1,72755	8,25744n	1	
8,41935n	1,99332	8,41935n	1	
8,58126n	1,69432	8,58126n	1	
8,74317n	2,12621	8,74317n	1	
8,90508n	2,89032	8,90508n	1	
9,06699n	2,05977	9,06699n	1	
9,2289n	2,09299	9,2289n	1	
9,39081n	2,39199	9,39081n	1	
9,55272n	1,59466	9,55272n	1	
9,71463n	1,46177	9,71463n	1	
9,87654n	1,56144	9,87654n	1	
10,0385n	1,46177	10,0385n	1	
10,2004n	1,59466	10,2004n	1	
10,3623n	1,02988	10,3623n	1	
10,5242n	1,19599	10,5242n	1	
10,6861n	1,09633	10,6861n	1	
10,848n	1,32888	10,848n	1	
11,0099n	1,29566	11,0099n	1	
11,1718n	1,76077	11,1718n	1	
11,3337n	1,09633	11,3337n	1	
11,4956n	1,12955	11,4956n	1	
11,6576n	996,661m	11,6576n	1	
11,8195n	963,439m	11,8195n	1	
11,9814n	730,885m	11,9814n	1	
12,1433n	1,02988	12,1433n	1	
12,3052n	830,551m	12,3052n	1	
12,4671n	1,3621	12,4671n	1	
12,629n	830,551m	12,629n	1	
12,7909n	896,995m	12,7909n	1	
12,9528n	930,217m	12,9528n	1	
13,1148n	1,19599	13,1148n	1	
13,2767n	830,551m	13,2767n	1	
13,4386n	1,26244	13,4386n	1	
13,6005n	1,12955	13,6005n	1	
13,7624n	1,09633	13,7624n	1	
13,9243n	1,09633	13,9243n	1	
14,0862n	996,661m	14,0862n	1	
14,2481n	1,22922	14,2481n	1	
14,41n	1,22922	14,41n	1	
14,5719n	896,995m	14,5719n	1	
14,7339n	963,439m	14,7339n	1	
14,8958n	963,439m	14,8958n	1	
15,0577n	1,02988	15,0577n	1	
15,2196n	930,217m	15,2196n	1	
15,3815n	863,773m	15,3815n	1	
15,5434n	1,19599	15,5434n	1	
15,7053n	963,439m	15,7053n	1	
15,8672n	1,06311	15,8672n	1	
16,0291n	896,995m	16,0291n	1	
16,1911n	1,12955	16,1911n	1	
16,353n	1,19599	16,353n	1	
16,5149n	896,995m	16,5149n	1	
16,6768n	1,02988	16,6768n	1	
16,8387n	996,661m	16,8387n	1	
17,0006n	797,329m	17,0006n	1	
17,1625n	1,16277	17,1625n	1	
17,3244n	896,995m	17,3244n	1	
17,4863n	1,06311	17,4863n	1	
17,6482n	697,663m	17,6482n	1	
17,8102n	1,19599	17,8102n	1	
17,9721n	963,439m	17,9721n	1	
18,134n	1,29566	18,134n	1	
18,2959n	963,439m	18,2959n	1	
18,4578n	1,06311	18,4578n	1	
18,6197n	1,16277	18,6197n	1	
18,7816n	830,551m	18,7816n	1	
18,9435n	1,26244	18,9435n	1	
19,1054n	930,217m	19,1054n	1	
19,2674n	1,09633	19,2674n	1	
19,4293n	996,661m	19,4293n	1	
19,5912n	996,661m	19,5912n	1	
19,7531n	930,217m	19,7531n	1	
19,915n	930,217m	19,915n	1	
20,0769n	1,29566	20,0769n	1	
20,2388n	1,02988	20,2388n	1	
20,4007n	896,995m	20,4007n	1	
20,5626n	996,661m	20,5626n	1	
20,7245n	930,217m	20,7245n	1	
20,8865n	1,12955	20,8865n	1	
21,0484n	1,06311	21,0484n	1	
21,2103n	564,775m	21,2103n	1	
21,3722n	896,995m	21,3722n	1	
21,5341n	730,885m	21,5341n	1	
21,696n	896,995m	21,696n	1	
21,8579n	1,02988	21,8579n	1	
22,0198n	863,773m	22,0198n	1	
22,1817n	930,217m	22,1817n	1	
22,3437n	930,217m	22,3437n	1	
22,5056n	1,16277	22,5056n	1	
22,6675n	1,26244	22,6675n	1	
22,8294n	930,217m	22,8294n	1	
22,9913n	730,885m	22,9913n	1	
23,1532n	930,217m	23,1532n	1	
23,3151n	764,107m	23,3151n	1	
23,477n	1,12955	23,477n	1	
23,6389n	1,09633	23,6389n	1	
23,8009n	730,885m	23,8009n	1	
23,9628n	1,12955	23,9628n	1	
24,1247n	1,12955	24,1247n	1	
24,2866n	896,995m	24,2866n	1	
24,4485n	1,16277	24,4485n	1	
24,6104n	1,19599	24,6104n	1	
24,7723n	1,12955	24,7723n	1	
24,9342n	664,441m	24,9342n	1	
25,0961n	764,107m	25,0961n	1	
25,258n	730,885m	25,258n	1	
25,42n	963,439m	25,42n	1	
25,5819n	1,42855	25,5819n	1	
25,7438n	1,12955	25,7438n	1	
25,9057n	996,661m	25,9057n	1	
26,0676n	1,06311	26,0676n	1	
26,2295n	1,16277	26,2295n	1	
26,3914n	631,219m	26,3914n	1	
26,5533n	1,02988	26,5533n	1	
26,7152n	1,12955	26,7152n	1	
26,8772n	1,16277	26,8772n	1	
27,0391n	930,217m	27,0391n	1	
27,201n	830,551m	27,201n	1	
27,3629n	1,19599	27,3629n	1	
27,5248n	1,16277	27,5248n	1	
27,6867n	830,551m	27,6867n	1	
27,8486n	930,217m	27,8486n	1	
28,0105n	1,16277	28,0105n	1	
28,1724n	797,329m	28,1724n	1	
28,3343n	930,217m	28,3343n	1	
28,4963n	1,12955	28,4963n	1	
28,6582n	1,06311	28,6582n	1	
28,8201n	963,439m	28,8201n	1	
28,982n	1,12955	28,982n	1	
29,1439n	930,217m	29,1439n	1	
29,3058n	830,551m	29,3058n	1	
29,4677n	1,26244	29,4677n	1	
29,6296n	963,439m	29,6296n	1	
29,7915n	1,16277	29,7915n	1	
29,9535n	930,217m	29,9535n	1	
30,1154n	963,439m	30,1154n	1	
30,2773n	863,773m	30,2773n	1	
30,4392n	1,02988	30,4392n	1	
30,6011n	1,02988	30,6011n	1	
30,763n	664,441m	30,763n	1	
30,9249n	896,995m	30,9249n	1	
31,0868n	863,773m	31,0868n	1	
31,2487n	863,773m	31,2487n	1	
31,4106n	1,06311	31,4106n	1	
31,5726n	930,217m	31,5726n	1	
31,7345n	896,995m	31,7345n	1	
31,8964n	1,3621	31,8964n	1	
32,0583n	730,885m	32,0583n	1	
32,2202n	1,26244	32,2202n	1	
32,3821n	1,06311	32,3821n	1	
32,544n	664,441m	32,544n	1	
32,7059n	797,329m	32,7059n	1	
32,8678n	1,16277	32,8678n	1	
33,0298n	996,661m	33,0298n	1	
33,1917n	764,107m	33,1917n	1	
33,3536n	963,439m	33,3536n	1	
33,5155n	996,661m	33,5155n	1	
33,6774n	1,09633	33,6774n	1	
33,8393n	1,09633	33,8393n	1	
34,0012n	1,22922	34,0012n	1	
34,1631n	1,02988	34,1631n	1	
34,325n	1,19599	34,325n	1	
34,4869n	1,02988	34,4869n	1	
34,6489n	1,12955	34,6489n	1	
34,8108n	863,773m	34,8108n	1	
34,9727n	1,02988	34,9727n	1	
35,1346n	963,439m	35,1346n	1	
35,2965n	1,29566	35,2965n	1	
35,4584n	1,06311	35,4584n	1	
35,6203n	1,12955	35,6203n	1	
35,7822n	1,32888	35,7822n	1	
35,9441n	631,219m	35,9441n	1	
36,1061n	863,773m	36,1061n	1	
36,268n	730,885m	36,268n	1	
36,4299n	1,22922	36,4299n	1	
36,5918n	863,773m	36,5918n	1	
36,7537n	1,06311	36,7537n	1	
36,9156n	996,661m	36,9156n	1	
37,0775n	1,16277	37,0775n	1	
37,2394n	963,439m	37,2394n	1	
37,4013n	697,663m	37,4013n	1	
37,5632n	797,329m	37,5632n	1	
37,7252n	1,12955	37,7252n	1	
37,8871n	930,217m	37,8871n	1	
38,049n	1,12955	38,049n	1	
38,2109n	1,02988	38,2109n	1	
38,3728n	730,885m	38,3728n	1	
38,5347n	1,26244	38,5347n	1	
38,6966n	1,16277	38,6966n	1	
38,8585n	797,329m	38,8585n	1	
39,0204n	1,26244	39,0204n	1	
39,1824n	1,02988	39,1824n	1	
39,3443n	797,329m	39,3443n	1	
39,5062n	896,995m	39,5062n	1	
39,6681n	1,09633	39,6681n	1	
39,83n	896,995m	39,83n	1	
39,9919n	896,995m	39,9919n	1	
40,1538n	1,16277	40,1538n	1	
40,3157n	1,19599	40,3157n	1	
40,4776n	1,12955	40,4776n	1	
40,6395n	1,16277	40,6395n	1	
40,8015n	1,16277	40,8015n	1	
40,9634n	863,773m	40,9634n	1	
41,1253n	1,02988	41,1253n	1	
41,2872n	730,885m	41,2872n	1	
41,4491n	1,19599	41,4491n	1	
41,611n	1,16277	41,611n	1	
41,7729n	996,661m	41,7729n	1	
41,9348n	830,551m	41,9348n	1	
42,0967n	963,439m	42,0967n	1	
42,2587n	1,12955	42,2587n	1	
42,4206n	930,217m	42,4206n	1	
42,5825n	797,329m	42,5825n	1	
42,7444n	1,16277	42,7444n	1	
42,9063n	963,439m	42,9063n	1	
43,0682n	896,995m	43,0682n	1	
43,2301n	797,329m	43,2301n	1	
43,392n	1,22922	43,392n	1	
43,5539n	1,26244	43,5539n	1	
43,7158n	863,773m	43,7158n	1	
43,8778n	930,217m	43,8778n	1	
44,0397n	930,217m	44,0397n	1	
44,2016n	1,09633	44,2016n	1	
44,3635n	996,661m	44,3635n	1	
44,5254n	1,12955	44,5254n	1	
44,6873n	1,09633	44,6873n	1	
44,8492n	963,439m	44,8492n	1	
45,0111n	1,29566	45,0111n	1	
45,173n	830,551m	45,173n	1	
45,335n	1,06311	45,335n	1	
45,4969n	1,29566	45,4969n	1	
45,6588n	963,439m	45,6588n	1	
45,8207n	1,12955	45,8207n	1	
45,9826n	1,06311	45,9826n	1	
46,1445n	1,09633	46,1445n	1	
46,3064n	1,02988	46,3064n	1	
46,4683n	1,02988	46,4683n	1	
46,6302n	1,26244	46,6302n	1	
46,7921n	1,29566	46,7921n	1	
46,9541n	1,19599	46,9541n	1	
47,116n	896,995m	47,116n	1	
47,2779n	963,439m	47,2779n	1	
47,4398n	1,02988	47,4398n	1	
47,6017n	1,06311	47,6017n	1	
47,7636n	1,19599	47,7636n	1	
47,9255n	730,885m	47,9255n	1	
48,0874n	930,217m	48,0874n	1	
48,2493n	830,551m	48,2493n	1	
48,4113n	996,661m	48,4113n	1	
48,5732n	797,329m	48,5732n	1	
48,7351n	1,06311	48,7351n	1	
48,897n	1,19599	48,897n	1	
49,0589n	1,19599	49,0589n	1	
49,2208n	830,551m	49,2208n	1	
49,3827n	863,773m	49,3827n	1	
49,5446n	664,441m	49,5446n	1	
49,7065n	930,217m	49,7065n	1	
49,8684n	1,42855	49,8684n	1	
50,0304n	1,06311	50,0304n	1	
