tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
-50,3542n	1,02988	-50,3542n	1	
-50,1923n	863,773m	-50,1923n	1	
-50,0304n	1,22922	-50,0304n	1	
-49,8684n	1,16277	-49,8684n	1	
-49,7065n	1,09633	-49,7065n	1	
-49,5446n	764,107m	-49,5446n	1	
-49,3827n	930,217m	-49,3827n	1	
-49,2208n	764,107m	-49,2208n	1	
-49,0589n	863,773m	-49,0589n	1	
-48,897n	764,107m	-48,897n	1	
-48,7351n	830,551m	-48,7351n	1	
-48,5732n	930,217m	-48,5732n	1	
-48,4113n	1,19599	-48,4113n	1	
-48,2493n	963,439m	-48,2493n	1	
-48,0874n	996,661m	-48,0874n	1	
-47,9255n	896,995m	-47,9255n	1	
-47,7636n	1,12955	-47,7636n	1	
-47,6017n	1,09633	-47,6017n	1	
-47,4398n	697,663m	-47,4398n	1	
-47,2779n	1,02988	-47,2779n	1	
-47,116n	930,217m	-47,116n	1	
-46,9541n	1,06311	-46,9541n	1	
-46,7921n	1,16277	-46,7921n	1	
-46,6302n	1,39533	-46,6302n	1	
-46,4683n	1,09633	-46,4683n	1	
-46,3064n	764,107m	-46,3064n	1	
-46,1445n	830,551m	-46,1445n	1	
-45,9826n	1,02988	-45,9826n	1	
-45,8207n	1,09633	-45,8207n	1	
-45,6588n	930,217m	-45,6588n	1	
-45,4969n	564,775m	-45,4969n	1	
-45,335n	1,26244	-45,335n	1	
-45,173n	797,329m	-45,173n	1	
-45,0111n	631,219m	-45,0111n	1	
-44,8492n	996,661m	-44,8492n	1	
-44,6873n	830,551m	-44,6873n	1	
-44,5254n	996,661m	-44,5254n	1	
-44,3635n	863,773m	-44,3635n	1	
-44,2016n	664,441m	-44,2016n	1	
-44,0397n	896,995m	-44,0397n	1	
-43,8778n	996,661m	-43,8778n	1	
-43,7158n	963,439m	-43,7158n	1	
-43,5539n	764,107m	-43,5539n	1	
-43,392n	996,661m	-43,392n	1	
-43,2301n	1,16277	-43,2301n	1	
-43,0682n	996,661m	-43,0682n	1	
-42,9063n	797,329m	-42,9063n	1	
-42,7444n	1,19599	-42,7444n	1	
-42,5825n	963,439m	-42,5825n	1	
-42,4206n	996,661m	-42,4206n	1	
-42,2587n	863,773m	-42,2587n	1	
-42,0967n	1,09633	-42,0967n	1	
-41,9348n	896,995m	-41,9348n	1	
-41,7729n	1,29566	-41,7729n	1	
-41,611n	697,663m	-41,611n	1	
-41,4491n	1,02988	-41,4491n	1	
-41,2872n	764,107m	-41,2872n	1	
-41,1253n	1,29566	-41,1253n	1	
-40,9634n	1,16277	-40,9634n	1	
-40,8015n	863,773m	-40,8015n	1	
-40,6395n	697,663m	-40,6395n	1	
-40,4776n	896,995m	-40,4776n	1	
-40,3157n	1,16277	-40,3157n	1	
-40,1538n	1,09633	-40,1538n	1	
-39,9919n	963,439m	-39,9919n	1	
-39,83n	1,22922	-39,83n	1	
-39,6681n	1,09633	-39,6681n	1	
-39,5062n	963,439m	-39,5062n	1	
-39,3443n	963,439m	-39,3443n	1	
-39,1824n	597,997m	-39,1824n	1	
-39,0204n	1,19599	-39,0204n	1	
-38,8585n	764,107m	-38,8585n	1	
-38,6966n	830,551m	-38,6966n	1	
-38,5347n	863,773m	-38,5347n	1	
-38,3728n	896,995m	-38,3728n	1	
-38,2109n	963,439m	-38,2109n	1	
-38,049n	963,439m	-38,049n	1	
-37,8871n	1,19599	-37,8871n	1	
-37,7252n	963,439m	-37,7252n	1	
-37,5632n	830,551m	-37,5632n	1	
-37,4013n	896,995m	-37,4013n	1	
-37,2394n	1,09633	-37,2394n	1	
-37,0775n	1,19599	-37,0775n	1	
-36,9156n	1,26244	-36,9156n	1	
-36,7537n	1,3621	-36,7537n	1	
-36,5918n	1,02988	-36,5918n	1	
-36,4299n	930,217m	-36,4299n	1	
-36,268n	896,995m	-36,268n	1	
-36,1061n	1,19599	-36,1061n	1	
-35,9441n	996,661m	-35,9441n	1	
-35,7822n	1,16277	-35,7822n	1	
-35,6203n	930,217m	-35,6203n	1	
-35,4584n	963,439m	-35,4584n	1	
-35,2965n	830,551m	-35,2965n	1	
-35,1346n	664,441m	-35,1346n	1	
-34,9727n	896,995m	-34,9727n	1	
-34,8108n	996,661m	-34,8108n	1	
-34,6489n	963,439m	-34,6489n	1	
-34,4869n	1,09633	-34,4869n	1	
-34,325n	1,12955	-34,325n	1	
-34,1631n	1,09633	-34,1631n	1	
-34,0012n	1,22922	-34,0012n	1	
-33,8393n	1,02988	-33,8393n	1	
-33,6774n	1,12955	-33,6774n	1	
-33,5155n	797,329m	-33,5155n	1	
-33,3536n	996,661m	-33,3536n	1	
-33,1917n	1,46177	-33,1917n	1	
-33,0298n	896,995m	-33,0298n	1	
-32,8678n	996,661m	-32,8678n	1	
-32,7059n	930,217m	-32,7059n	1	
-32,544n	797,329m	-32,544n	1	
-32,3821n	896,995m	-32,3821n	1	
-32,2202n	996,661m	-32,2202n	1	
-32,0583n	1,09633	-32,0583n	1	
-31,8964n	1,19599	-31,8964n	1	
-31,7345n	863,773m	-31,7345n	1	
-31,5726n	1,16277	-31,5726n	1	
-31,4106n	1,3621	-31,4106n	1	
-31,2487n	996,661m	-31,2487n	1	
-31,0868n	1,22922	-31,0868n	1	
-30,9249n	1,16277	-30,9249n	1	
-30,763n	830,551m	-30,763n	1	
-30,6011n	1,06311	-30,6011n	1	
-30,4392n	764,107m	-30,4392n	1	
-30,2773n	664,441m	-30,2773n	1	
-30,1154n	1,26244	-30,1154n	1	
-29,9535n	1,16277	-29,9535n	1	
-29,7915n	963,439m	-29,7915n	1	
-29,6296n	1,02988	-29,6296n	1	
-29,4677n	1,09633	-29,4677n	1	
-29,3058n	1,39533	-29,3058n	1	
-29,1439n	1,42855	-29,1439n	1	
-28,982n	1,29566	-28,982n	1	
-28,8201n	930,217m	-28,8201n	1	
-28,6582n	764,107m	-28,6582n	1	
-28,4963n	1,06311	-28,4963n	1	
-28,3343n	1,32888	-28,3343n	1	
-28,1724n	1,19599	-28,1724n	1	
-28,0105n	996,661m	-28,0105n	1	
-27,8486n	930,217m	-27,8486n	1	
-27,6867n	930,217m	-27,6867n	1	
-27,5248n	697,663m	-27,5248n	1	
-27,3629n	730,885m	-27,3629n	1	
-27,201n	1,42855	-27,201n	1	
-27,0391n	963,439m	-27,0391n	1	
-26,8772n	1,09633	-26,8772n	1	
-26,7152n	1,19599	-26,7152n	1	
-26,5533n	1,09633	-26,5533n	1	
-26,3914n	896,995m	-26,3914n	1	
-26,2295n	797,329m	-26,2295n	1	
-26,0676n	1,19599	-26,0676n	1	
-25,9057n	1,02988	-25,9057n	1	
-25,7438n	1,19599	-25,7438n	1	
-25,5819n	1,06311	-25,5819n	1	
-25,42n	1,3621	-25,42n	1	
-25,258n	1,06311	-25,258n	1	
-25,0961n	1,12955	-25,0961n	1	
-24,9342n	1,3621	-24,9342n	1	
-24,7723n	1,02988	-24,7723n	1	
-24,6104n	1,3621	-24,6104n	1	
-24,4485n	896,995m	-24,4485n	1	
-24,2866n	930,217m	-24,2866n	1	
-24,1247n	1,06311	-24,1247n	1	
-23,9628n	1,16277	-23,9628n	1	
-23,8009n	730,885m	-23,8009n	1	
-23,6389n	1,09633	-23,6389n	1	
-23,477n	930,217m	-23,477n	1	
-23,3151n	1,26244	-23,3151n	1	
-23,1532n	1,06311	-23,1532n	1	
-22,9913n	830,551m	-22,9913n	1	
-22,8294n	1,02988	-22,8294n	1	
-22,6675n	863,773m	-22,6675n	1	
-22,5056n	830,551m	-22,5056n	1	
-22,3437n	1,06311	-22,3437n	1	
-22,1817n	1,02988	-22,1817n	1	
-22,0198n	1,09633	-22,0198n	1	
-21,8579n	631,219m	-21,8579n	1	
-21,696n	1,19599	-21,696n	1	
-21,5341n	797,329m	-21,5341n	1	
-21,3722n	963,439m	-21,3722n	1	
-21,2103n	1,02988	-21,2103n	1	
-21,0484n	1,12955	-21,0484n	1	
-20,8865n	1,06311	-20,8865n	1	
-20,7245n	863,773m	-20,7245n	1	
